task_id,service,resource,priority,arrival_ms,start_ms,finish_ms,deadline_ms,execution_ms,scheduler_overhead_ms,queue_delay_ms,response_ms,deadline_missed
object_detection-0000,object_detection,npu,3,0.0,0.0,18.0,80.0,18.0,0.008878,0.0,18.0,False
monocular_3d_detection-0000,monocular_3d_detection,gpu,4,10.0,10.0,58.0,130.0,48.0,0.004331,0.0,48.0,False
object_tracking-0000,object_tracking,cpu,3,25.0,25.0,37.0,75.0,12.0,0.002983,0.0,12.0,False
lane_detection-0000,lane_detection,npu,2,40.0,40.0,56.0,140.0,16.0,0.002968,0.0,16.0,False
object_tracking-0001,object_tracking,gpu,3,75.0,75.0,83.0,125.0,8.0,0.002515,0.0,8.0,False
object_detection-0001,object_detection,npu,3,100.0,100.0,118.0,180.0,18.0,0.002247,0.0,18.0,False
object_tracking-0002,object_tracking,gpu,3,125.0,125.0,133.0,175.0,8.0,0.001593,0.0,8.0,False
lane_detection-0001,lane_detection,npu,2,140.0,140.0,156.0,240.0,16.0,0.001986,0.0,16.0,False
monocular_3d_detection-0001,monocular_3d_detection,npu,4,160.0,160.0,202.0,280.0,42.0,0.002038,0.0,42.0,False
object_tracking-0003,object_tracking,gpu,3,175.0,175.0,183.0,225.0,8.0,0.001556,0.0,8.0,False
object_detection-0002,object_detection,npu,3,200.0,202.0,220.0,280.0,18.0,0.002176,2.0,20.0,False
emergency_obstacle_detection-0000,emergency_obstacle_detection,npu,5,220.0,220.0,231.0,260.0,11.0,0.002039,0.0,11.0,False
object_tracking-0004,object_tracking,gpu,3,225.0,225.0,233.0,275.0,8.0,0.001592,0.0,8.0,False
lane_detection-0002,lane_detection,npu,2,240.0,240.0,256.0,340.0,16.0,0.002044,0.0,16.0,False
object_tracking-0005,object_tracking,gpu,3,275.0,275.0,283.0,325.0,8.0,0.001635,0.0,8.0,False
object_detection-0003,object_detection,npu,3,300.0,300.0,318.0,380.0,18.0,0.002104,0.0,18.0,False
monocular_3d_detection-0002,monocular_3d_detection,gpu,4,310.0,310.0,358.0,430.0,48.0,0.00193,0.0,48.0,False
object_tracking-0006,object_tracking,cpu,3,325.0,325.0,337.0,375.0,12.0,0.001537,0.0,12.0,False
lane_detection-0003,lane_detection,npu,2,340.0,340.0,356.0,440.0,16.0,0.002027,0.0,16.0,False
object_tracking-0007,object_tracking,gpu,3,375.0,375.0,383.0,425.0,8.0,0.001962,0.0,8.0,False
object_detection-0004,object_detection,npu,3,400.0,400.0,418.0,480.0,18.0,0.001978,0.0,18.0,False
object_tracking-0008,object_tracking,gpu,3,425.0,425.0,433.0,475.0,8.0,0.001458,0.0,8.0,False
lane_detection-0004,lane_detection,npu,2,440.0,440.0,456.0,540.0,16.0,0.00194,0.0,16.0,False
monocular_3d_detection-0003,monocular_3d_detection,npu,4,460.0,460.0,502.0,580.0,42.0,0.001896,0.0,42.0,False
object_tracking-0009,object_tracking,gpu,3,475.0,475.0,483.0,525.0,8.0,0.0015,0.0,8.0,False
